Id,Id Empresa,Nome Empresa,URL Empresa,Nome da Vaga,Tipo,Publicado,Dead Line,Remoto?,Cidade,Estado,Regime,URL Vaga,Nova Adição
8800599,56104,MJV Technology & Innovation,Not,Pessoa Desenvolvedora Back-end (Java),effective,17/03/2025,12/05/2025,True,,,remote,https://mjvcarreiras.gupy.io/job/eyJqb2JJZCI6ODgwMDU5OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Não
8812757,37030,Dotz,Not,DESENVOLVEDOR BACK-END SÊNIOR | .NET,vacancy_legal_entity,17/03/2025,13/05/2025,True,,,remote,https://dotz.gupy.io/job/eyJqb2JJZCI6ODgxMjc1Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Não
8817222,50527,VENHA SER #SANGUELARANJA 🧡🚀,Not,Pessoa Desenvolvedora Back-end Sênior,effective,17/03/2025,16/05/2025,True,,,remote,https://fcamara.gupy.io/job/eyJqb2JJZCI6ODgxNzIyMiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Não
8817180,50527,VENHA SER #SANGUELARANJA 🧡🚀,Not,Pessoa Desenvolvedora Back-end Sênior,effective,17/03/2025,16/05/2025,True,,,remote,https://fcamara.gupy.io/job/eyJqb2JJZCI6ODgxNzE4MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Não
8812605,50527,VENHA SER #SANGUELARANJA 🧡🚀,Not,Pessoa Desenvolvedora Back-end Sênior,effective,17/03/2025,13/05/2025,True,,,remote,https://fcamara.gupy.io/job/eyJqb2JJZCI6ODgxMjYwNSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Não
8820292,1863,Ambipar,Not, AMBIPAR RESPONSE - Analista Administrativo,effective,17/03/2025,16/05/2025,False,Niterói,Rio de Janeiro,on-site,https://ambipar.gupy.io/job/eyJqb2JJZCI6ODgyMDI5Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Não
8819886,2221,Grupo Vamos,Not,ANALISTA ADMINISTRATIVO DE VENDAS,effective,17/03/2025,16/05/2025,False,Rio de Janeiro,Rio de Janeiro,on-site,https://vamos.gupy.io/job/eyJqb2JJZCI6ODgxOTg4Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Não
8821149,42412,QCA,Not,Estágio em Direito | Bancário,internship,17/03/2025,16/05/2025,True,,,remote,https://qca.gupy.io/job/eyJqb2JJZCI6ODgyMTE0OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Não
8819652,42412,QCA,Not,Estágio em Direito | Consumidor  ,internship,17/03/2025,16/05/2025,True,,,remote,https://qca.gupy.io/job/eyJqb2JJZCI6ODgxOTY1Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Não
8818086,75343,Gaudium,Not,Estagiário de Jornalismo,internship,17/03/2025,31/05/2025,True,,,remote,https://gaudium.gupy.io/job/eyJqb2JJZCI6ODgxODA4Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Não
8803093,36502,Quality Digital,Not,8803093 - ESTÁGIARIO ADMINISTRATIVO FINANCEIRO,effective,17/03/2025,31/03/2025,False,Rio de Janeiro,Rio de Janeiro,hybrid,https://qualitydigital.gupy.io/job/eyJqb2JJZCI6ODgwMzA5Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Não
